station_id,station_name,timestamp,direction,hour,day_of_week,is_weekend,density_score
IC-01,İçərişəhər,2024-02-01T00:00:00,inbound,0.0,3,0,0.0989
IC-01,İçərişəhər,2024-02-01T00:00:00,outbound,0.0,3,0,0.0375
MY-02,28 May,2024-02-01T00:00:00,inbound,0.0,3,0,0.0725
MY-02,28 May,2024-02-01T00:00:00,outbound,0.0,3,0,0.0673
NN-03,Nəriman Nərimanov,2024-02-01T00:00:00,inbound,0.0,3,0,0.1036
NN-03,Nəriman Nərimanov,2024-02-01T00:00:00,outbound,0.0,3,0,0.0977
BK-04,Bakmil,2024-02-01T00:00:00,inbound,0.0,3,0,0.0992
BK-04,Bakmil,2024-02-01T00:00:00,outbound,0.0,3,0,0.0187
UL-05,Ulduz,2024-02-01T00:00:00,inbound,0.0,3,0,0.0572
UL-05,Ulduz,2024-02-01T00:00:00,outbound,0.0,3,0,0.018
KR-06,Koroğlu,2024-02-01T00:00:00,inbound,0.0,3,0,0.0469
KR-06,Koroğlu,2024-02-01T00:00:00,outbound,0.0,3,0,0.0755
QQ-07,Qara Qarayev,2024-02-01T00:00:00,inbound,0.0,3,0,0.0227
QQ-07,Qara Qarayev,2024-02-01T00:00:00,outbound,0.0,3,0,0.0399
HA-08,Həzi Aslanov,2024-02-01T00:00:00,inbound,0.0,3,0,0.105
HA-08,Həzi Aslanov,2024-02-01T00:00:00,outbound,0.0,3,0,0.0945
IC-01,İçərişəhər,2024-02-01T00:15:00,inbound,0.25,3,0,0.057
IC-01,İçərişəhər,2024-02-01T00:15:00,outbound,0.25,3,0,0.0939
MY-02,28 May,2024-02-01T00:15:00,inbound,0.25,3,0,0.1259
MY-02,28 May,2024-02-01T00:15:00,outbound,0.25,3,0,0.0456
NN-03,Nəriman Nərimanov,2024-02-01T00:15:00,inbound,0.25,3,0,0.1106
NN-03,Nəriman Nərimanov,2024-02-01T00:15:00,outbound,0.25,3,0,0.0998
BK-04,Bakmil,2024-02-01T00:15:00,inbound,0.25,3,0,0.044
BK-04,Bakmil,2024-02-01T00:15:00,outbound,0.25,3,0,0.0255
UL-05,Ulduz,2024-02-01T00:15:00,inbound,0.25,3,0,0.1107
UL-05,Ulduz,2024-02-01T00:15:00,outbound,0.25,3,0,0.0487
KR-06,Koroğlu,2024-02-01T00:15:00,inbound,0.25,3,0,0.0343
KR-06,Koroğlu,2024-02-01T00:15:00,outbound,0.25,3,0,0.0347
QQ-07,Qara Qarayev,2024-02-01T00:15:00,inbound,0.25,3,0,0.1047
QQ-07,Qara Qarayev,2024-02-01T00:15:00,outbound,0.25,3,0,0.0804
HA-08,Həzi Aslanov,2024-02-01T00:15:00,inbound,0.25,3,0,0.1207
HA-08,Həzi Aslanov,2024-02-01T00:15:00,outbound,0.25,3,0,0.113
IC-01,İçərişəhər,2024-02-01T00:30:00,inbound,0.5,3,0,0.0886
IC-01,İçərişəhər,2024-02-01T00:30:00,outbound,0.5,3,0,0.1323
MY-02,28 May,2024-02-01T00:30:00,inbound,0.5,3,0,0.0829
MY-02,28 May,2024-02-01T00:30:00,outbound,0.5,3,0,0.1002
NN-03,Nəriman Nərimanov,2024-02-01T00:30:00,inbound,0.5,3,0,0.1129
NN-03,Nəriman Nərimanov,2024-02-01T00:30:00,outbound,0.5,3,0,0.0919
BK-04,Bakmil,2024-02-01T00:30:00,inbound,0.5,3,0,0.0962
BK-04,Bakmil,2024-02-01T00:30:00,outbound,0.5,3,0,0.0677
UL-05,Ulduz,2024-02-01T00:30:00,inbound,0.5,3,0,0.0855
UL-05,Ulduz,2024-02-01T00:30:00,outbound,0.5,3,0,0.0196
KR-06,Koroğlu,2024-02-01T00:30:00,inbound,0.5,3,0,0.0478
KR-06,Koroğlu,2024-02-01T00:30:00,outbound,0.5,3,0,0.0539
QQ-07,Qara Qarayev,2024-02-01T00:30:00,inbound,0.5,3,0,0.028
QQ-07,Qara Qarayev,2024-02-01T00:30:00,outbound,0.5,3,0,0.0433
HA-08,Həzi Aslanov,2024-02-01T00:30:00,inbound,0.5,3,0,0.0501
HA-08,Həzi Aslanov,2024-02-01T00:30:00,outbound,0.5,3,0,0.0678
IC-01,İçərişəhər,2024-02-01T00:45:00,inbound,0.75,3,0,0.0986
IC-01,İçərişəhər,2024-02-01T00:45:00,outbound,0.75,3,0,0.0715
MY-02,28 May,2024-02-01T00:45:00,inbound,0.75,3,0,0.082
MY-02,28 May,2024-02-01T00:45:00,outbound,0.75,3,0,0.066
NN-03,Nəriman Nərimanov,2024-02-01T00:45:00,inbound,0.75,3,0,0.0567
NN-03,Nəriman Nərimanov,2024-02-01T00:45:00,outbound,0.75,3,0,0.1237
BK-04,Bakmil,2024-02-01T00:45:00,inbound,0.75,3,0,0.0748
BK-04,Bakmil,2024-02-01T00:45:00,outbound,0.75,3,0,0.0709
UL-05,Ulduz,2024-02-01T00:45:00,inbound,0.75,3,0,0.0321
UL-05,Ulduz,2024-02-01T00:45:00,outbound,0.75,3,0,0.0879
KR-06,Koroğlu,2024-02-01T00:45:00,inbound,0.75,3,0,0.0413
KR-06,Koroğlu,2024-02-01T00:45:00,outbound,0.75,3,0,0.0629
QQ-07,Qara Qarayev,2024-02-01T00:45:00,inbound,0.75,3,0,0.119
QQ-07,Qara Qarayev,2024-02-01T00:45:00,outbound,0.75,3,0,0.084
HA-08,Həzi Aslanov,2024-02-01T00:45:00,inbound,0.75,3,0,0.0957
